AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
-0.07,-0.14,9.84,0.06,-0.11,-0.01,-0.08,0.21,9.87,0.03,-0.05,-0.01
-0.07,-0.14,9.86,0.06,-0.11,-0.01,-0.08,0.21,9.90,0.03,-0.05,-0.01
-0.07,-0.13,9.87,0.06,-0.11,-0.01,-0.08,0.21,9.90,0.03,-0.05,-0.01
-0.07,-0.13,9.87,0.06,-0.11,-0.02,-0.07,0.21,9.92,0.03,-0.05,-0.01
-0.07,-0.12,9.88,0.06,-0.11,-0.02,-0.07,0.22,9.92,0.03,-0.05,-0.01
-0.06,-0.14,9.88,0.06,-0.11,-0.01,-0.07,0.22,9.92,0.03,-0.05,-0.01
-0.07,-0.14,9.89,0.06,-0.11,-0.01,-0.07,0.22,9.92,0.03,-0.05,-0.01
-0.07,-0.13,9.89,0.06,-0.11,-0.02,-0.08,0.22,9.93,0.03,-0.05,-0.01
-0.07,-0.12,9.90,0.05,-0.11,-0.02,-0.08,0.22,9.94,0.03,-0.05,-0.01
-0.07,-0.14,9.89,0.05,-0.11,-0.01,-0.08,0.22,9.94,0.03,-0.05,-0.01
-0.06,-0.13,9.90,0.06,-0.11,-0.01,-0.08,0.22,9.94,0.03,-0.05,-0.01
-0.07,-0.13,9.90,0.06,-0.11,-0.01,-0.08,0.22,9.94,0.03,-0.05,-0.01
-0.07,-0.12,9.90,0.06,-0.11,-0.01,-0.08,0.22,9.95,0.03,-0.05,-0.01
-0.07,-0.12,9.89,0.06,-0.11,-0.01,-0.07,0.22,9.94,0.03,-0.05,-0.01
-0.07,-0.12,9.90,0.06,-0.11,-0.02,-0.08,0.22,9.95,0.03,-0.05,-0.01
-0.06,-0.13,9.90,0.06,-0.11,-0.01,-0.08,0.22,9.95,0.03,-0.05,-0.01
-0.07,-0.13,9.92,0.06,-0.11,-0.02,-0.08,0.22,9.95,0.03,-0.05,-0.01
-0.07,-0.13,9.90,0.06,-0.11,-0.01,-0.07,0.22,9.96,0.03,-0.05,-0.01
-0.07,-0.12,9.91,0.06,-0.11,-0.01,-0.08,0.22,9.95,0.03,-0.05,-0.01
-0.07,-0.13,9.91,0.06,-0.11,-0.01,-0.08,0.22,9.95,0.03,-0.05,-0.01
-0.08,-0.13,9.90,0.05,-0.11,-0.01,-0.07,0.22,9.95,0.03,-0.05,-0.01
-0.06,-0.12,9.90,0.05,-0.11,-0.01,-0.08,0.22,9.96,0.03,-0.05,-0.01
-0.07,-0.13,9.91,0.05,-0.11,-0.02,-0.09,0.21,9.96,0.03,-0.05,-0.01
-0.07,-0.13,9.90,0.06,-0.11,-0.01,-0.09,0.21,9.96,0.03,-0.05,-0.01
-0.06,-0.13,9.91,0.06,-0.11,-0.01,-0.08,0.22,9.95,0.03,-0.05,-0.01
-0.07,-0.13,9.91,0.06,-0.11,-0.02,-0.08,0.22,9.95,0.03,-0.05,-0.01
-0.06,-0.13,9.91,0.05,-0.11,-0.02,-0.08,0.22,9.96,0.03,-0.05,-0.01
-0.06,-0.12,9.90,0.05,-0.11,-0.01,-0.08,0.22,9.95,0.03,-0.05,-0.01
-0.06,-0.13,9.92,0.05,-0.11,-0.01,-0.08,0.22,9.95,0.03,-0.05,-0.01
-0.06,-0.12,9.92,0.06,-0.11,-0.01,-0.07,0.22,9.95,0.03,-0.05,-0.01
-0.07,-0.12,9.91,0.06,-0.11,-0.01,-0.07,0.22,9.97,0.03,-0.05,-0.01
-0.06,-0.13,9.91,0.06,-0.11,-0.01,-0.08,0.22,9.96,0.03,-0.05,-0.01
-0.06,-0.12,9.91,0.06,-0.11,-0.01,-0.08,0.22,9.96,0.03,-0.05,-0.01
-0.08,-0.12,9.91,0.05,-0.11,-0.01,-0.08,0.22,9.96,0.03,-0.05,-0.01
-0.07,-0.13,9.91,0.06,-0.11,-0.01,-0.07,0.21,9.95,0.03,-0.05,-0.01
-0.06,-0.13,9.91,0.06,-0.11,-0.01,-0.07,0.21,9.96,0.03,-0.05,-0.01
-0.07,-0.12,9.91,0.05,-0.11,-0.02,-0.07,0.21,9.96,0.03,-0.05,-0.01
-0.07,-0.13,9.90,0.06,-0.11,-0.02,-0.07,0.22,9.96,0.03,-0.05,-0.01
-0.07,-0.12,9.91,0.05,-0.11,-0.01,-0.08,0.22,9.96,0.03,-0.05,-0.01
-0.07,-0.13,9.91,0.06,-0.11,-0.02,-0.08,0.22,9.97,0.03,-0.05,-0.01
-0.06,-0.12,9.91,0.06,-0.11,-0.02,-0.08,0.22,9.97,0.03,-0.05,-0.01
-0.06,-0.12,9.91,0.05,-0.11,-0.01,-0.09,0.21,9.96,0.03,-0.05,-0.01
-0.07,-0.13,9.91,0.05,-0.11,-0.02,-0.08,0.22,9.96,0.03,-0.05,-0.01
-0.08,-0.13,9.91,0.05,-0.11,-0.02,-0.08,0.22,9.97,0.03,-0.05,-0.01
-0.06,-0.13,9.90,0.06,-0.11,-0.01,-0.08,0.22,9.96,0.03,-0.05,-0.01
-0.07,-0.13,9.91,0.06,-0.11,-0.02,-0.08,0.22,9.96,0.03,-0.05,-0.01
-0.07,-0.12,9.91,0.05,-0.11,-0.01,-0.08,0.22,9.96,0.03,-0.05,-0.01
-0.06,-0.13,9.91,0.05,-0.11,-0.02,-0.07,0.22,9.96,0.03,-0.05,-0.01
-0.08,-0.13,9.91,0.05,-0.11,-0.01,-0.07,0.22,9.96,0.03,-0.05,-0.01
-0.07,-0.14,9.92,0.05,-0.11,-0.02,-0.07,0.22,9.96,0.03,-0.05,-0.01
-0.06,-0.13,9.91,0.05,-0.11,-0.01,-0.08,0.21,9.95,0.03,-0.05,-0.01
-0.06,-0.13,9.92,0.05,-0.11,-0.01,-0.09,0.22,9.96,0.03,-0.05,-0.01
-0.06,-0.13,9.91,0.05,-0.11,-0.01,-0.07,0.22,9.95,0.03,-0.05,-0.01
-0.08,-0.13,9.92,0.06,-0.11,-0.01,-0.07,0.22,9.95,0.03,-0.05,-0.01
-0.08,-0.12,9.91,0.06,-0.11,-0.01,-0.08,0.23,9.96,0.03,-0.05,-0.01
-0.05,-0.12,9.91,0.06,-0.11,-0.01,-0.06,0.22,9.97,0.03,-0.05,-0.01
-0.07,-0.13,9.92,0.06,-0.11,-0.02,-0.08,0.22,9.96,0.03,-0.05,-0.01
-0.07,-0.14,9.91,0.06,-0.11,-0.02,-0.08,0.21,9.95,0.03,-0.05,-0.01
-0.07,-0.11,9.93,0.06,-0.11,-0.02,-0.08,0.21,9.95,0.03,-0.05,-0.01
-0.09,-0.13,9.91,0.06,-0.11,-0.01,-0.09,0.21,9.98,0.03,-0.05,-0.01
-0.06,-0.13,9.91,0.06,-0.11,-0.01,-0.07,0.22,9.96,0.03,-0.05,-0.01
-0.07,-0.13,9.91,0.05,-0.11,-0.01,-0.08,0.21,9.94,0.03,-0.05,-0.01
-0.06,-0.12,9.91,0.05,-0.11,-0.02,-0.08,0.21,9.94,0.03,-0.05,-0.01
-0.07,-0.12,9.89,0.06,-0.11,-0.02,-0.07,0.22,9.96,0.03,-0.05,-0.01
-0.06,-0.12,9.92,0.06,-0.11,-0.02,-0.06,0.23,9.98,0.03,-0.05,-0.01
