AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
0.42,-0.45,9.86,-0.03,0.03,0.05,0.42,-0.18,10.05,-0.04,0.09,0.04
0.26,-0.33,9.59,0.02,0.04,0.05,0.42,-0.18,10.05,-0.04,0.09,0.04
-0.30,-0.37,9.32,0.03,0.05,0.05,-0.20,0.01,9.74,0.02,0.09,0.05
0.15,-0.60,10.26,0.05,-0.03,0.04,-0.20,0.01,9.74,0.02,0.09,0.05
-0.26,-0.53,9.39,0.07,-0.08,0.03,0.12,-0.12,9.98,0.05,0.01,0.04
0.04,-0.65,10.08,0.07,-0.11,0.03,0.19,-0.06,9.94,0.08,-0.02,0.03
0.06,-0.66,10.09,0.08,-0.12,0.02,-0.24,0.01,9.62,0.06,-0.07,0.03
0.51,-0.54,10.25,0.02,-0.15,0.03,-0.24,0.01,9.62,0.06,-0.07,0.03
-0.07,-0.38,10.74,0.03,-0.08,0.03,-0.25,0.04,9.93,0.01,-0.10,0.03
-0.67,-0.37,9.36,-0.01,-0.06,0.04,-0.36,0.31,10.13,-0.00,-0.03,0.03
0.06,-0.67,10.00,0.00,-0.02,0.05,-0.41,-0.14,9.38,0.01,0.03,0.04
0.11,-0.22,9.70,0.02,-0.03,0.05,-0.41,-0.14,9.38,0.01,0.03,0.04
0.04,-0.63,10.02,0.03,-0.04,0.05,0.05,-0.42,10.16,0.01,0.02,0.05
-0.45,-0.05,9.71,0.05,-0.06,0.05,-0.09,0.11,10.45,0.03,0.00,0.06
-0.05,-0.64,9.74,0.06,-0.12,0.05,-0.57,0.45,9.65,0.06,-0.04,0.05
-0.28,-0.06,10.51,0.04,-0.19,0.04,-0.57,0.45,9.65,0.06,-0.04,0.05
0.13,-0.51,9.66,-0.01,-0.24,0.04,0.18,0.45,10.65,0.03,-0.13,0.05
-0.83,-1.33,8.71,0.42,0.29,0.05,0.66,-0.36,8.78,0.04,-0.09,0.05
0.19,0.21,10.11,0.09,-0.11,0.05,-0.34,0.64,10.39,0.23,-0.07,0.09
