AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
0.01,-0.32,9.83,0.06,-0.11,-0.01,0.01,0.02,9.87,0.03,-0.05,-0.01
-0.00,-0.33,9.85,0.06,-0.11,-0.02,0.01,0.03,9.90,0.03,-0.05,-0.01
0.00,-0.33,9.86,0.06,-0.11,-0.01,0.01,0.03,9.90,0.03,-0.05,-0.01
0.01,-0.32,9.87,0.06,-0.11,-0.01,-0.00,0.01,9.91,0.03,-0.05,-0.01
0.00,-0.32,9.86,0.06,-0.11,-0.01,-0.00,0.02,9.92,0.03,-0.05,-0.01
0.00,-0.32,9.88,0.06,-0.11,-0.01,-0.01,0.01,9.93,0.03,-0.05,-0.01
0.01,-0.31,9.88,0.06,-0.11,-0.02,-0.01,0.01,9.93,0.03,-0.05,-0.01
-0.02,-0.33,9.88,0.06,-0.11,-0.01,-0.01,0.01,9.92,0.03,-0.05,-0.01
0.00,-0.33,9.89,0.06,-0.11,-0.01,0.00,0.02,9.94,0.03,-0.05,-0.01
0.02,-0.31,9.89,0.06,-0.11,-0.01,0.03,0.04,9.95,0.03,-0.05,-0.01
0.00,-0.33,9.89,0.06,-0.11,-0.01,0.03,0.04,9.95,0.03,-0.05,-0.01
0.01,-0.32,9.89,0.06,-0.11,-0.02,-0.01,0.02,9.94,0.03,-0.05,-0.01
-0.01,-0.31,9.90,0.06,-0.11,-0.01,0.00,0.02,9.96,0.03,-0.05,-0.01
-0.01,-0.32,9.88,0.05,-0.11,-0.01,-0.02,0.02,9.95,0.03,-0.05,-0.01
0.01,-0.31,9.90,0.06,-0.11,-0.02,-0.01,0.01,9.95,0.03,-0.05,-0.01
0.00,-0.32,9.91,0.06,-0.11,-0.01,-0.01,0.01,9.95,0.03,-0.05,-0.01
-0.00,-0.33,9.90,0.05,-0.11,-0.01,0.01,0.03,9.96,0.03,-0.05,-0.01
0.06,-0.30,9.90,0.06,-0.11,-0.01,0.05,0.03,9.95,0.03,-0.05,-0.01
-0.03,-0.32,9.89,0.06,-0.11,-0.02,0.07,0.04,9.93,0.03,-0.05,-0.01
-0.03,-0.33,9.90,0.05,-0.11,-0.01,0.07,0.04,9.93,0.03,-0.05,-0.01
0.07,-0.29,9.90,0.06,-0.11,-0.02,-0.02,0.03,9.97,0.03,-0.05,-0.01
-0.05,-0.34,9.90,0.06,-0.11,-0.02,-0.08,-0.00,9.94,0.03,-0.05,-0.01
0.02,-0.32,9.90,0.05,-0.11,-0.01,-0.04,0.01,9.94,0.03,-0.04,-0.01
0.06,-0.31,9.90,0.06,-0.11,-0.02,-0.04,0.01,9.94,0.03,-0.04,-0.01
-0.06,-0.33,9.90,0.05,-0.11,-0.01,0.00,0.02,9.96,0.03,-0.04,-0.01
0.03,-0.31,9.91,0.05,-0.11,-0.01,0.06,0.04,9.96,0.03,-0.05,-0.01
0.02,-0.31,9.91,0.06,-0.11,-0.02,0.05,0.04,9.97,0.03,-0.05,-0.01
-0.04,-0.33,9.90,0.05,-0.11,-0.01,-0.01,0.02,9.94,0.03,-0.05,-0.01
0.05,-0.31,9.91,0.06,-0.11,-0.01,-0.01,0.02,9.94,0.03,-0.05,-0.01
0.02,-0.32,9.91,0.06,-0.11,-0.02,-0.04,0.02,9.96,0.03,-0.05,-0.01
-0.02,-0.33,9.90,0.05,-0.11,-0.01,-0.04,0.02,9.95,0.03,-0.05,-0.01
0.05,-0.30,9.91,0.06,-0.11,-0.01,0.00,0.03,9.96,0.03,-0.05,-0.01
-0.02,-0.32,9.90,0.06,-0.11,-0.02,0.00,0.03,9.96,0.03,-0.05,-0.01
0.00,-0.32,9.90,0.05,-0.11,-0.01,0.04,0.03,9.94,0.03,-0.05,-0.01
0.03,-0.31,9.90,0.06,-0.11,-0.01,0.03,0.03,9.97,0.03,-0.05,-0.01
-0.01,-0.32,9.91,0.06,-0.11,-0.02,0.00,0.03,9.96,0.03,-0.05,-0.01
-0.01,-0.30,9.91,0.06,-0.11,-0.01,0.00,0.03,9.96,0.03,-0.05,-0.01
0.02,-0.31,9.91,0.06,-0.11,-0.02,-0.02,0.01,9.96,0.03,-0.05,-0.01
-0.01,-0.32,9.90,0.06,-0.11,-0.01,-0.03,0.02,9.95,0.03,-0.05,-0.01
0.01,-0.31,9.91,0.06,-0.11,-0.01,0.00,0.03,9.95,0.03,-0.05,-0.01
0.02,-0.30,9.90,0.06,-0.11,-0.02,0.00,0.03,9.95,0.03,-0.05,-0.01
-0.01,-0.33,9.91,0.05,-0.11,-0.01,0.01,0.03,9.95,0.03,-0.05,-0.01
0.03,-0.32,9.91,0.05,-0.11,-0.01,0.02,0.03,9.97,0.03,-0.05,-0.01
0.01,-0.32,9.91,0.06,-0.11,-0.01,0.02,0.03,9.96,0.03,-0.05,-0.01
-0.01,-0.32,9.91,0.05,-0.11,-0.01,-0.02,0.02,9.95,0.03,-0.05,-0.01
0.03,-0.31,9.92,0.05,-0.11,-0.01,-0.02,0.02,9.95,0.03,-0.05,-0.01
0.00,-0.31,9.92,0.06,-0.11,-0.01,-0.02,0.02,9.96,0.03,-0.05,-0.01
